IndID,Age,F,YearID,Island,Hatch,Fledge
1,3,0.25,3,3,1,0
7,3,0,1,3,1,0
7,7,0,1,3,1,0
7,4,0,1,3,1,1
7,5,0,1,3,1,1
7,6,0,1,3,2,1
7,8,0,2,3,1,0
7,9,0,2,3,1,1
8,8,0.125,3,2,1,0
8,7,0.125,3,2,2,1
8,9,0.125,3,2,2,1
9,8,0,3,1,1,1
10,3,0.25,3,4,1,0
10,6,0.25,3,4,1,0
10,4,0.25,3,4,1,1
11,3,0.031,2,4,0,0
11,6,0.031,2,4,1,0
14,2,0,1,1,1,0
15,5,0,2,3,1,0
15,7,0,2,3,1,0
15,8,0,2,3,1,0
15,3,0,2,3,1,1
15,4,0,2,3,1,1
15,9,0,2,3,2,1
15,10,0,2,3,2,2
16,2,0.125,3,1,1,0
16,3,0.125,3,1,2,0
16,4,0.125,3,1,2,1
16,5,0.125,3,1,2,1
18,5,0,2,3,1,0
21,3,0,1,1,1,1
21,4,0,1,1,2,1
21,5,0,1,1,1,1
21,6,0,1,2,4,2
21,9,0,2,2,2,0
21,10,0,2,2,1,0
21,8,0,2,2,4,1
21,7,0,2,2,4,2
28,4,0,3,3,1,0
32,2,0,2,2,2,1
32,3,0,2,2,1,1
37,7,0,3,4,1,1
38,5,0.063,2,2,1,0
38,6,0.063,2,2,1,1
38,10,0.063,3,2,2,0
38,7,0.063,3,2,1,1
38,8,0.063,3,2,1,1
38,9,0.063,3,2,1,1
39,3,0.063,2,2,1,1
43,2,0.082,2,2,2,1
43,3,0.082,3,2,3,0
43,5,0.082,3,2,2,0
43,6,0.082,3,2,2,1
47,3,0,2,3,1,0
48,3,0.031,2,3,1,0
48,4,0.031,2,3,1,1
48,6,0.031,3,3,1,1
48,7,0.031,3,3,1,1
49,5,0,3,4,1,1
51,3,0,3,2,1,1
51,4,0,3,2,2,1
52,4,0,2,2,1,0
52,2,0,2,2,1,1
52,3,0,2,2,1,1
52,5,0,2,2,2,1
52,6,0,3,2,1,1
52,7,0,3,2,2,1
52,8,0,3,2,1,1
55,5,0,2,2,1,0
55,7,0,2,2,1,0
55,8,0,2,2,1,0
55,4,0,2,2,2,1
55,11,0,3,2,1,0
55,12,0,3,2,1,0
55,9,0,3,2,1,1
55,10,0,3,2,2,1
56,4,0,2,3,1,0
56,3,0,2,3,2,1
57,4,0,1,1,2,1
